Sbjct Cd,Catalog Nbr,Class Section Cd,Course Title ,Instructor Name,Start,End,Day,Student
BIOL-SHU,250,1,Organismal Systems,"Yu,Danyang",1:15 PM,2:30 PM,TR,32
BIOL-SHU,263,1,Developmental Biology,"Yu,Danyang",9:45 AM,11:00 AM,TR,"2,787"
BIOL-SHU,263,1,Developmental Biology,"Yu,Danyang",9:45 AM,11:00 AM,TR,594
BIOL-SHU,263,1,Developmental Biology,"Yu,Danyang",9:45 AM,11:00 AM,TR,"3,265"
BIOL-SHU,263,1,Developmental Biology,"Yu,Danyang",9:45 AM,11:00 AM,TR,"3,787,726"
BIOL-SHU,263,1,Developmental Biology,"Yu,Danyang",9:45 AM,11:00 AM,TR,"3,462"
BIOL-SHU,314,1,Advanced Cell Biology Lab,"Li,Wenshu",1:15 PM,5:15 PM,TR,"3,798,783"
BIOL-SHU,314,1,Advanced Cell Biology Lab,"Li,Wenshu",1:15 PM,5:15 PM,TR,"2,757,385"
BIOL-SHU,314,1,Advanced Cell Biology Lab,"Li,Wenshu",1:15 PM,5:15 PM,TR,"67,844"
BIOL-SHU,314,1,Advanced Cell Biology Lab,"Li,Wenshu",1:15 PM,5:15 PM,TR,"78,748"
BIOL-SHU,314,1,Advanced Cell Biology Lab,"Li,Wenshu",1:15 PM,5:15 PM,TR,"59,660"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"3,666,505"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"4,389,867"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"796,925"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"8,605,493"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,904
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"4,286,872"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"329,589"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"5,976,569"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,880
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"6,078,899"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"270,350"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"4,299,299"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"7,908,989"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"4,929,500"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"8,578,260"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"78,747"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"8,533"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,748
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,976
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"5,689,270"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"2,960"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,522
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"9,393,643"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,79
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,75
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"7,092,059"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"4,999"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"3,607,872"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"5,668,337"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"9,288,270"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,578
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,"3,069,989"
BPEP-SHU,238,1,International Economics,"Tang,Lixin",11:30 AM,12:45 PM,TR,339
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,670
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"70,320"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"43,538"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"28,045"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"6,589,250"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,50
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"8,560,044"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"9,079,240"
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,5
BUSF-SHU,3,1,Business Honors Seminar,"LU,YIQING",8:15 AM,10:45 AM,F,"8,225,835"
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,"9,988"
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,"9,640,445"
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,358
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,207
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,"5,920,386"
BUSF-SHU,5,1,Principles of Finance for Non-majors,"Shapir,Offer Moshe",1:45 PM,3:00 PM,TR,"2,872,752"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,66
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"76,275"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"225,997"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"5,660"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"4,434,776"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"9,247,552"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"39,957"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"86,025"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"23,359"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,846,652"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"77,880"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"800,223"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,555"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,967
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"5,064,676"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"5,827,644"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"57,322"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"57,833"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,900,673"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"99,736"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,327,836"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,667,684"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"5,680,437"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"7,758"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,497
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"30,900"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,26
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"705,078"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"5,070,787"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"6,299,878"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"4,727,763"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,998
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,936
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"8,628"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"4,587,593"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"39,894"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,633
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"2,542,039"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"6,045,445"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"227,086"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"94,629"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"253,888"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"233,228"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,462
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"9,390"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"8,959,326"
BUSF-SHU,101,1,Statistics for Business and Economics,"Liao,Ming",4:45 PM,6:00 PM,TR,"8,247"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"623,569"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,786,804"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,587,957"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,288"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,85
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,782,323"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,972
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"370,983"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,034,756"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,727
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,243"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,442,585"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"3,525,623"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,365,904"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"6,254,088"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"959,966"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"39,968"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,698
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,204"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,208,926"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"449,730"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"673,306"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,746,405"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,86
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,590
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,389,956"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"4,060,063"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"4,774,743"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,797,302"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"6,068"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,409
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,207,097"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"6,490,290"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"673,477"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"88,693"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,246,323"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"909,829"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,903"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"3,336,932"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,586,372"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,437,477"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"4,275,973"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"694,387"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"27,526"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,644,423"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,390"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,430,746"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"3,663,309"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,068,476"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"49,445"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"247,348"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,963"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,25
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"4,063,784"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,023,262"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,853,499"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,007,235"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"4,764"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"46,872"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,507
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,732
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,522,599"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,995
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,270,725"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,728
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,449
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"3,632"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"8,679,706"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"5,676,943"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"400,658"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"7,926,740"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"440,578"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"2,289,428"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,390
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"55,200"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"99,359"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"842,526"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"75,589"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"54,496"
BUSF-SHU,101,2,Statistics for Business and Economics,"Fang,Fang",1:45 PM,3:00 PM,TR,"9,372,989"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"2,394,792"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"995,684"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"5,008,566"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,57
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"2,447"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"7,402,735"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"573,520"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"72,777"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"4,664,834"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,786
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"4,379"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"9,884"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"2,843,679"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"35,085"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"859,439"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,92
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"8,524,296"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,489
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"8,852,554"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"709,078"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"2,894,608"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"2,975,232"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"684,866"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"8,237,806"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,"7,492,373"
BUSF-SHU,101,3,Statistics for Business and Economics,"Fang,Fang",3:15 PM,4:30 PM,TR,294
